,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
134,27.04251482,601611996,1056183545,5770924,94760,44405,57864,13733293,11978087,118797,147956,0.569609325
135,27.24284163,603789137,1222839941,4085615,314485,41885,46522,12409830,8448311,232048,205867,0.493759745
136,27.44318287,611535083,1855478389,918322,71192,14854,1046,3870293,1366827,77125,97067,0.329583512
137,27.64348964,609231936,1362515836,3686744,206899,35121,33118,11555178,8878183,61447,184118,0.447137508
138,27.84380092,606908349,1007795828,6464267,87495,35441,56528,12495362,11889557,91612,133076,0.602213595
139,28.04412178,603837142,1009699439,5997606,110436,44886,53735,13813820,12425065,128856,177223,0.598036523
140,28.2444088,595889272,916066808,6232637,92681,38045,66418,10707556,11465687,142856,155514,0.650486697
141,28.44471263,591565346,881627492,6051460,82994,37021,55590,10538941,12019426,140444,170094,0.670992399
142,28.64515865,598210580,951433790,6234878,73577,37381,59344,11174754,11244463,121333,156600,0.62874641
143,28.84546215,605766918,961047356,6597765,96475,40334,57511,12697940,10233431,57669,124626,0.63031953
144,29.0458199,604451966,980880989,6644178,120145,39254,45082,12190194,11983381,117178,144841,0.616233746
145,29.24613233,605904571,942186118,6969040,88066,35682,76463,9634765,14895372,97727,115809,0.643083738
146,29.44646645,602500770,925233297,6707551,113549,34609,57748,11436724,11399521,115685,110856,0.651187946
147,29.64678841,604424361,915005934,7046135,86735,38321,79643,9981188,11842014,88890,113969,0.660568788
148,29.84710395,586735331,801288849,5523135,113591,33660,67567,9779929,10299680,167895,152515,0.732239481
149,30.04739871,602219757,940142535,6637675,101084,39923,76582,9347526,14182995,109068,142794,0.640562186
150,30.24774116,598904816,980202669,6159009,111778,51404,104887,8329127,13830697,107887,114604,0.611001005
151,30.44803395,600046681,1056442639,5752104,97611,50677,93273,8787497,12461095,98961,126357,0.567987943
152,30.64833982,607695165,1037017061,6342152,90900,38126,54812,11411307,11878787,83678,136693,0.586003054
153,30.84862859,599436459,1056525901,5773757,109162,47670,93595,9272268,12935126,95771,113463,0.567365607
154,31.0488577,602171740,1023320070,6160520,112236,43298,75378,10363194,12329255,108494,109408,0.588449067
155,31.24916326,599188641,1040851274,5551635,148809,51846,102655,8422191,13574468,114742,122789,0.575671718
156,31.44946994,605928523,1061916788,5823469,103020,45221,60184,12130635,12107009,114119,151315,0.570598874
157,31.64979383,609262240,1025373954,6651779,80030,37022,54811,11066218,11339599,79828,127095,0.594185407
158,31.85011255,607861316,1019970885,6598486,88990,37988,44265,11841236,11571996,105736,126001,0.595959478
159,32.05043507,604276499,986177839,6634073,96131,36263,41845,13200203,9196500,117328,113636,0.612745972
160,32.25074937,605421646,1022690834,6375999,101178,34070,47631,13081908,10826312,101933,115577,0.591988924
161,32.45105672,606717680,964365942,6834103,87704,37054,66300,10399558,13284349,98985,117002,0.629136362
162,32.65137208,606632815,1012948503,6612632,94961,40316,58262,11203195,12186229,102969,124212,0.598878238
163,32.85168115,599191007,1015898922,6022616,116055,42563,72067,10348922,10553353,147019,144214,0.589813606
164,33.05177084,595396306,973106747,5649335,164880,56197,121398,7994048,14806449,162323,137202,0.611850969
165,33.25209643,603193010,950911929,6460698,98666,41851,83169,10638152,12716270,92979,141454,0.6343311
166,33.45240552,602693374,964238440,5967271,100806,40667,81895,11026703,12664749,101302,165110,0.625045994
167,33.65271874,606682609,1015115640,5990925,132949,45179,71865,12444604,12869305,118292,170377,0.597648765
168,33.85304526,603551215,941566909,6426171,118698,38962,83373,10107717,15951252,149633,124220,0.64100725
169,34.05335977,589573004,1249520465,2844320,264832,74815,24143,20452808,3532714,386683,475762,0.471839414
170,34.2536891,583675510,1226779518,2133944,374855,92087,19510,18675485,7175814,540870,418101,0.475778656
171,34.45401275,616575738,1806535496,1652760,26535,892,880,7328127,48330,73112,381,0.341302864
172,34.65433397,618618484,1822183320,1741168,6265,368,505,7218069,37847,25028,57,0.339493001
