,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
170,85.60335066,1504108905,1157126314,26408014,102858,2900,1459,45457146,112664,1492532,3836,1.299865785,,,,,,,,
171,86.1037912,1521110191,1226302922,27262024,92642,2997,1154,47384662,72328,1426698,3633,1.2404033,,,,,,,,
172,86.6044084,1520102510,1218261258,27284256,96991,3050,1184,48714775,78838,1553001,3410,1.247763975,,,,,,,,
173,87.10503845,1515197347,1212231445,26497998,115759,3526,1272,52986525,69446,1972359,4149,1.249924141,,,,,,,,
174,87.60567011,1514144581,1208434032,26599168,117404,3503,1191,52400353,72668,1924820,3842,1.252980751,,,,,,,,
175,88.10626641,1509423550,1210275271,26358943,124082,3671,1346,54155706,78297,2272451,4472,1.247173751,,,,,,,,
176,88.6068658,1471645651,1125447765,24020151,128003,3883,1386,53703380,107989,2811743,5956,1.307609022,,,,,,,,
177,89.10749535,1493720225,1189248642,25336507,144575,4153,1510,57821528,97248,2698692,5076,1.256020122,,,,,,,,
178,89.60779971,1497308730,1188714554,25473502,136324,4005,1206,57527830,88764,2590197,4784,1.259603262,,,,,,,,
179,90.10844293,1496785934,1217817059,25660990,149262,4554,1302,62168072,71909,2917059,5186,1.229072891,,,,,,,,
180,90.60905649,1502522244,1225168191,25573090,146196,4429,1053,61845170,79477,3225099,5393,1.22638039,,,,,,,,
181,91.1096733,1492448062,1235870484,24577793,160846,5101,1284,68079870,68309,3859989,5844,1.207608792,,,,,,,,
182,91.61030762,1465995947,1176443885,22065765,158358,5394,1349,70650250,89497,5204351,7626,1.246124839,,,,,,,,
183,92.11094726,1459134512,1162775069,20522305,168935,6137,1272,76068337,93590,5459917,8446,1.254872547,,,,,,,,
184,92.61157627,1474489728,1244500923,21303169,190288,6888,1267,86629003,85194,6024045,7640,1.184804045,,,,,,,,
185,93.11179166,1470170071,1271086423,19611365,207135,7982,1453,99588857,80028,6994574,8186,1.156624793,,,,,,,,
186,93.61239685,1437372802,1233483754,15307688,239792,9818,1339,111463899,96183,8872730,11451,1.165295284,,,,,,,,
187,94.11300364,1429335763,1257699318,14328865,238951,10690,1540,124243257,84354,10049011,11159,1.136468584,,,,,,,,
